sx,sx2,sy,sy2,gamma,delta
17820.118017,8855.96971308,22672.1605078,12360.5835848,1.44,1.8
20741.489575,12667.6675531,32681.323045,23980.8553058,0.16,0.8
22230.797844,14892.5102471,22319.7767175,12382.1146909,0.08,1.84
21558.821347,13545.3579797,23736.2634324,13470.4298342,0.44,1.64
21113.065659,12971.7936508,23377.0527263,13057.1678059,0.44,1.68
19865.147051,11767.3568484,26383.650111,16228.6585305,0.52,1.44
22310.802882,14432.1488787,21430.5622475,11484.7757119,0.08,1.88
14246.30143,5460.18638303,24560.5663922,14196.4092488,2,1.72
15460.703538,6526.28199192,30903.748316,21477.2276413,1.48,1.04
15287.905167,6367.94753615,30493.348311,20932.1451052,1.48,1.08
15282.080882,6393.39064961,23509.8904676,13129.7400944,1.64,1.8
19584.886977,11237.9796773,28441.754938,18489.9709772,0,1.24
12724.9840884,4192.19154952,39520.058544,34853.1450608,1.44,0.24
15021.097899,6103.29527814,29210.100077,19284.8597725,1.64,1.2
15620.968367,6629.20109259,26960.20075,16632.4027962,1.64,1.4
22050.236067,14532.7257984,27422.520469,17351.3362531,0,1.28
12728.2479654,4171.34293004,39159.133466,34212.0396234,1.44,0.28
18948.50435,10497.3238406,24732.1624629,14587.3392779,0.88,1.64
15963.382998,6988.61216313,32878.390762,24202.3742512,1.28,0.84
16858.166133,7992.08214472,32588.997813,23804.2468358,0,0.88
14053.0039891,5282.09845484,33576.681029,25205.3436785,0,0.84
15366.510354,6507.20490502,32612.496054,23823.5983914,1.28,0.88
21505.609466,13441.6951167,21439.5297212,11319.8633711,0.48,1.88
13582.149384,4845.50273762,30376.088587,20764.8514933,1.8,1.12
13446.089867,4702.2884095,29977.312385,20246.8115641,1.8,1.16
19299.887785,10613.1711371,27274.917311,17089.1563052,0.88,1.32
19183.727542,10394.7371637,26632.830192,16284.8558417,0.88,1.36
16162.728096,7363.55258904,39547.872836,34905.3506978,0.76,0.2
21046.749611,13114.7811684,34359.749826,26424.3287928,0,0.64
21352.107703,13250.2105975,30823.663893,21436.495927,0.16,0.96
