sx,sx2,sy,sy2,gamma,delta
20957.217739,13086.8847997,21419.9244053,11652.1525495,0.4,2
15159.190463,6296.23501183,32674.695155,23909.0926952,1.2,0.88
15529.113181,6606.93617992,33000.56765,24375.9554295,1.2,0.84
16991.136606,8067.80483533,32754.773726,24033.0468627,1.08,0.84
15341.320619,6562.83822942,37204.327131,30884.5873889,0.92,0.44
20335.494631,12093.2292642,33141.420789,24630.2936242,0.32,0.76
20070.829324,11731.5891608,33636.955494,25344.5916524,0.32,0.72
16094.025463,7199.39903841,32548.601924,23740.682704,1.08,0.88
16266.072854,7430.39542859,36682.322391,30032.6671748,0.92,0.48
22507.284033,14824.5847856,23173.2450761,12987.3884107,0.24,1.68
20031.672567,11697.5519005,21181.0139128,11246.4116883,0.8,2
18379.503747,9591.01099621,23110.3936898,12822.0961485,1.16,1.76
14484.59341,5587.62176204,33067.136139,24461.7494955,1.6,0.84
14111.215953,5268.77910757,32733.132764,23978.5267145,1.6,0.88
21870.463256,13753.7794848,21822.7411734,11618.8483379,0.64,1.8
11824.5385587,3478.04791328,37263.666276,30972.1244341,1.84,0.48
17290.011326,8538.00756905,38596.880691,33245.6827327,0.72,0.28
11864.6330952,3533.25793604,37598.452356,31529.8996571,1.84,0.44
16499.938829,7630.03382889,39234.904994,34355.3018517,0.72,0.24
13730.1353018,4943.98847654,38320.692065,32760.4273633,1.4,0.36
13747.7745524,5012.95326934,38666.710889,33354.7759052,1.4,0.32
10897.221951,2875.53493339,39445.687365,34714.1040208,1.88,0.28
16244.851738,7292.27807961,28162.821739,18032.5670846,1.36,1.28
15609.706171,6567.15736939,21536.6899012,11272.0008331,1.92,1.96
17129.502223,8284.63458836,22142.3137148,12045.2769266,1.92,1.92
17685.689358,8868.0495014,30567.626066,21063.4764151,0.92,1.04
22010.019816,14410.9168158,24955.8240906,14780.1907448,0.32,1.52
21926.931426,14159.9878767,24617.2511103,14421.981811,0.32,1.56
17965.360052,9317.22895912,26508.112166,16252.1381052,1.08,1.44
18662.384687,9856.96167624,25668.4906743,15305.2168381,1.08,1.48
16558.180556,7805.14033369,30452.464339,20911.8116576,0.92,1.08
16454.32495,7492.28747551,37129.618927,30765.4429412,1.04,0.44
23361.037132,16111.8605918,21778.33294,11812.3603956,0.12,1.84
12709.0532224,4161.11196777,40453.999257,36519.0078143,1.92,0.16
16545.537375,7640.51682077,40564.912948,36722.1676837,0.6,0.12
10543.0686154,2658.14784055,41247.694909,37972.2723832,1.92,0.12
17333.640844,8599.85053642,39901.991361,35539.6052215,0.6,0.16
15656.038629,6826.44441939,36749.08043,30138.9611407,1.04,0.48
22821.262098,15557.0306437,21822.5137244,11953.4558462,0.12,1.88
10847.0342899,2854.04304401,39305.637394,34471.1505692,1.96,0.28
15453.469118,6486.61156974,22535.8311053,12193.2731752,1.8,1.88
13773.608398,4953.12833189,30629.452618,21080.4395518,1.84,1.08
18179.584855,9362.91805273,23449.8894409,13044.2533615,1.12,1.72
18271.85788,9474.38789088,25794.3730173,15433.4499402,1.04,1.48
10938.9037278,2900.14434588,39774.349917,35301.4460104,1.96,0.24
13222.206902,4517.44060253,31215.834595,21870.5049771,1.84,1.04
12721.1096105,4164.7423406,38375.828497,32852.7807678,1.56,0.36
16406.605036,7445.0097155,25730.350484,15331.4683595,1.4,1.52
12569.0438502,4054.02819414,38766.843863,33525.5652886,1.56,0.32
15727.220388,6909.34578761,26005.049399,15741.0173859,1.4,1.56
15054.675351,6256.87177722,33136.801013,24577.5850654,1.24,0.84
14438.16276,5633.54490434,34832.465033,27093.236545,1.36,0.68
16085.762087,7090.30425326,32451.792837,23598.4968271,1.24,0.88
14059.531686,5354.26951385,35306.283246,27825.1410712,1.36,0.64
17397.656363,8617.19015909,39897.425573,35531.1684623,0.48,0.16
15316.843804,6461.84075806,29369.411991,19521.6396344,1.36,1.2
16698.485544,7894.00073098,27260.234896,17111.920169,1.36,1.4
17758.942467,8729.58429989,24394.065273,13933.1465513,1.36,1.6
16669.588289,7773.60544642,30766.723906,21313.5043298,1.04,1.04
16874.726425,8178.70612916,40308.725672,36270.5791129,0.48,0.12
18275.361171,9439.0799857,29915.500086,20212.4927151,1.04,1.08
15530.035078,6805.07979263,34707.822657,26913.3347683,1.08,0.68
15296.320024,6398.82181092,35980.950476,28896.4863965,1.12,0.56
14486.098676,5647.05072767,28589.781158,18536.2547071,1.64,1.28
17322.885285,8476.5328618,25682.872502,15333.013604,1.28,1.52
14709.607819,5793.64277576,28834.525946,18812.0049752,1.64,1.24
20104.005512,11360.7127939,30456.440933,20910.48236,0.8,1
15886.209347,7045.60231093,35053.098035,27444.0613565,1.08,0.64
19835.768934,11277.0771155,27579.856625,17420.444572,0.72,1.28
13131.555855,4490.39831774,40378.20961,36390.1607639,1.28,0.16
19035.86504,10541.2989247,25046.1677191,14716.6306243,0.8,1.56
20054.934472,11655.3556634,28016.827685,17953.3274684,0.72,1.24
18828.466519,10356.6095009,25652.0268211,15381.1704842,0.8,1.52
17755.998001,8936.16378892,31427.579486,22207.562422,0.84,0.96
20284.392349,12043.2100327,24509.6165976,14262.954856,0.68,1.6
19529.122309,11038.7008751,26412.179434,16112.9258155,0.68,1.4
17934.847692,9196.23591532,31800.328349,22715.4390893,0.84,0.92
19165.165966,10694.2476763,28679.426615,18729.8004832,0.68,1.2
22694.819393,15383.0570508,25749.5454205,15612.7073866,0.08,1.44
19798.341996,11491.4961049,28211.363108,18204.5185079,0.44,1.24
18904.03609,10140.1747866,26529.57873,16214.220638,0.88,1.4
23132.643733,15646.0521515,24903.1886256,14619.4327919,0.08,1.48
17229.409694,8486.14825409,38658.809589,33354.6073506,0.68,0.28
18509.743539,9694.32783357,28665.024945,18677.7611522,0.88,1.2
21428.340934,13698.391727,28772.894845,18939.8359968,0.2,1.16
22029.479991,14208.5971896,28931.8364,19061.2494777,0.2,1.12
16199.676762,7228.92557404,30717.689734,21225.2365046,1.24,1.04
16621.027575,7823.98828586,40784.49383,37136.4754878,0.56,0.08
18852.83081,10610.3031407,38302.366765,32748.6153262,0.2,0.28
16248.403178,7379.34510746,23626.123168,13264.9462133,2,1.76
17070.740494,8315.54804522,41004.708047,37556.9785315,0.56,0.04
19054.704073,10446.7230231,24178.8110513,13933.1781161,0,1.68
17421.335949,8586.11084409,21694.4268393,11568.8911493,1.32,1.96
15799.766956,6877.97115743,27163.769366,16903.8577047,1.44,1.4
14746.033265,5799.85353366,24415.1081581,13948.2596767,1.84,1.68
11910.069178,3535.63405334,36812.588891,30226.202157,1.8,0.52
18774.011461,9868.33273605,33749.167959,25490.4837848,0.8,0.72
16564.441952,7649.33604725,24770.9738183,14324.3174723,0,1.64
12293.8362514,3824.62813485,36345.168909,29467.3254121,1.8,0.56
17643.545219,8902.3468551,33553.730712,25203.9871835,0.8,0.76
18958.476567,10370.2964721,21381.1190691,11378.9164441,2,1.96
16084.215821,7309.00542997,22685.4301588,12511.213417,2,1.92
13693.685121,4990.46963471,37352.853886,31123.8167486,1.28,0.44
13996.6738522,5222.86785098,36941.94723,30445.4458019,1.28,0.48
17920.648846,9072.80708924,21832.4041439,11692.5808111,1.32,1.92
21122.948811,12974.7702111,33492.559177,25136.5114928,0.2,0.72
21035.138701,13132.6251927,33100.048294,24584.1249233,0.2,0.76
15825.740205,7060.1766108,39096.19234,34113.4195094,0.76,0.24
15406.314528,6403.3050093,25395.8219753,14972.7425413,1.8,1.56
15513.8515669,6702.50301765,38830.394405,33647.3306657,0.76,0.28
14531.582461,5702.70029404,26395.871323,16084.1755531,1.8,1.52
15379.440445,6530.95480228,30586.05061,21064.5842555,1.24,1.08
20919.744937,12859.075905,25588.5240999,15405.7959135,0.56,1.48
10517.3388288,2645.47018682,41207.715078,37900.6881062,2,0.12
21109.790785,12809.1451183,24687.351627,14324.8449028,0.68,1.52
12556.4322145,4045.08926676,40282.291791,36218.2145223,2,0.16
20927.000756,12943.1095947,25871.66966,15650.8530974,0.56,1.44
12074.8092214,3680.07326566,38831.622483,33639.2341477,1.64,0.32
16919.014687,8372.99704773,38599.646357,33254.7304926,0,0.28
12035.4811716,3628.88191002,38498.970121,33060.8041439,1.64,0.36
14689.804883,5773.05119481,24537.282226,14107.8233361,1.88,1.68
15431.826032,6517.20080515,39465.68264,34761.8466294,0,0.24
11694.3626626,3391.9720855,41061.856391,37630.7066526,1.68,0.12
15301.853176,6273.79890973,26568.053832,16169.8026099,1.72,1.44
11583.5915789,3324.25735422,40546.412953,36692.9683136,1.68,0.16
22617.603417,15062.7980445,20960.3721117,11109.0583767,0.28,1.96
19978.278947,11479.6165391,23993.5356806,13675.1506152,0.76,1.64
20318.096692,12049.1265042,23760.3104034,13624.1398588,0.76,1.68
15501.7991214,6644.26273967,40528.950921,36666.6507928,0.88,0.12
15459.191443,6570.81905499,40209.761585,36083.2815231,0.88,0.16
15250.70372,6353.94026823,22796.2047398,12497.2073741,1.76,1.88
16002.053893,7137.78484111,22039.8349433,11881.5384923,1.68,1.96
18407.27171,9660.97271764,27171.418588,16918.1991309,0.04,1.36
15494.991745,6655.45412907,22817.7476166,12627.2068443,1.68,1.92
22231.144351,14699.579544,26949.6007441,16830.7919968,0.04,1.32
22371.028034,14985.1276356,23218.6348118,13179.1893014,0.24,1.72
24629.784181,17459.9137623,20923.7096618,10936.5270898,0.16,1.84
16494.277819,7579.35329857,23525.7073646,13175.6120531,1.92,1.76
22682.158963,15137.6343363,22628.2246503,12544.4683129,0.24,1.76
22308.433335,14816.298831,21821.0085361,11816.0509005,0.16,1.88
18982.772949,10604.3403512,21976.8708056,12025.9532215,0.88,1.96
19206.217576,10585.5196145,37601.617553,31565.2207306,0.48,0.36
17314.462688,8670.98497134,38139.825828,32464.151271,0.48,0.32
23208.326314,15652.7601283,22179.9841606,12125.0759923,0.4,1.76
18996.840279,10386.677262,31587.07216,22430.1696088,0.68,0.92
20734.577938,12955.806113,23771.3677874,13707.6398235,0.4,1.72
15117.668726,6329.86580993,22576.4376839,12525.7772979,1.72,2
18836.347873,10181.8631449,31229.393458,21951.614649,0.68,0.96
15409.373541,6491.50756022,29893.002682,20150.3256167,1.96,1.12
18800.748233,10211.7095322,40651.562885,36895.805663,0.36,0.08
17158.539209,8387.91203569,29206.325757,19328.4795527,1.96,1.16
17643.984153,8940.64195393,41193.562673,37888.5034204,0.36,0.04
13623.382922,4872.17757944,27671.911528,17485.880264,1.96,1.4
15428.149623,6505.82350494,24799.312604,14372.896006,1.72,1.64
21231.219797,13235.3933317,35591.816377,28319.0666625,0.16,0.52
15609.650137,6626.59762209,28642.779312,18588.8007642,1.44,1.24
20586.068157,12582.8275707,35232.18321,27756.5200932,0.16,0.56
20399.309326,12339.8523854,35691.318363,28466.7855288,0.04,0.52
15481.716847,6576.5674295,28480.366506,18446.3404742,1.44,1.28
16259.786219,7298.24298922,36096.022332,29087.5159895,0.04,0.56
24766.72235,18003.7554753,20304.7122945,10714.3499675,0.12,1.96
17238.896867,8275.36761318,25407.78958,14944.2201027,1.32,1.52
16798.32951,7941.46428431,25505.9366209,15159.5116278,1.32,1.56
18129.06966,9482.47530008,36469.871094,29697.5839308,0.52,0.48
21788.752882,13757.3068573,31097.74059,21803.2896672,0.4,0.92
20441.824355,12213.3091934,30994.860377,21666.2658172,0.4,0.96
18599.559298,9991.13008694,36784.722821,30208.8868615,0.52,0.44
15365.365817,6576.127379,33568.518845,25207.837551,1.2,0.8
14977.1780245,6106.46164279,35995.940025,28919.5109114,1.32,0.56
13519.9716666,4860.85195936,36563.38666,29823.1190349,1.32,0.52
13535.5697046,4753.16597918,33217.495963,24672.9974216,1.76,0.84
11503.5705642,3286.83746123,39637.261938,35059.1961991,1.72,0.24
12971.842073,4443.33411459,33277.187472,24778.4540978,1.76,0.88
11416.9586468,3231.19171744,39012.745832,33963.8141312,1.72,0.28
17856.779657,9100.61874768,25681.7026832,15364.4664536,1.16,1.52
20113.963719,11723.5782355,21693.5709834,11752.2311473,0.88,1.92
21250.904312,13295.6845289,21997.9204223,11996.0366803,0.52,1.88
22157.018553,14209.9572818,21533.1380559,11401.081219,0.52,1.84
15149.256469,6316.90820976,34348.412264,26361.7649615,1.2,0.72
15921.801438,7007.12201663,33808.96298,25558.7044724,1.2,0.76
14574.85672,5757.34454889,30331.386398,20731.7895564,1.52,1.12
14705.358152,5877.64546784,29742.209116,19950.6615893,1.52,1.16
18580.575103,9992.85027202,22504.9307348,12382.019503,0.92,1.88
18852.057213,10335.0162155,22711.1352111,12564.7049622,1,1.84
22847.58399,15341.3959086,22092.3326923,12039.3029616,0.28,1.8
16412.05926,7618.06028157,34180.216328,26122.4070849,0.92,0.72
19141.560501,10489.2569659,22052.7739356,11888.2770994,1,1.88
16950.672616,8106.67727954,33651.576605,25339.5575733,0.92,0.76
21629.519593,13618.0142122,25941.6044633,15613.3619694,0.28,1.4
19445.75298,11161.4862124,34550.519622,26703.0916618,0.32,0.64
15363.995017,6439.60594378,25313.565644,14925.9338132,1.64,1.6
20285.475168,12054.6807007,34025.072294,25921.4900738,0.32,0.68
18253.099838,9257.21648443,29350.254928,19464.2237103,0.96,1.12
18291.718059,9615.12685088,28744.80187,18766.1144628,0.84,1.2
18649.492636,9889.43752815,29004.669955,19082.7895147,0.96,1.16
18898.343392,10351.1020053,26738.804773,16520.536027,0.84,1.4
19574.13381,11208.5807578,24682.5068601,14471.7155253,0.84,1.6
19319.573785,10728.3699668,22798.523337,12610.7623444,0.84,1.8
21761.60254,14409.607465,26558.2682974,16562.5563727,0.12,1.4
16237.456282,7385.92977525,40474.586464,36563.7315176,0.72,0.12
22789.830368,15596.4735403,24263.9979484,14167.6183744,0.12,1.6
16315.304472,7453.4515175,40091.476735,35876.2274257,0.72,0.16
22321.181563,14549.3138463,28025.61391,17995.542964,0.12,1.2
23641.794257,16224.5708194,21662.7137083,11500.3841087,0.12,1.8
17314.977541,8407.85268062,25153.368368,14738.4620551,1.36,1.56
14797.596216,5887.25669133,23041.4219971,12660.4864086,1.92,1.84
15995.569024,7089.78926443,25949.521463,15580.0025739,1.36,1.52
14950.66986,5993.20371387,22635.9510359,12319.1452837,1.92,1.88
16496.893896,7629.66413514,24796.695406,14423.7564871,1.4,1.64
18134.008935,9535.8463004,29445.574588,19697.2259857,0.92,1.16
21188.927475,13246.9521701,27982.130003,17981.4604948,0.32,1.24
17642.896543,8836.66070757,25249.1250651,14881.5917518,1.08,1.56
17724.081512,9015.65930705,29720.204053,19975.3481303,0.92,1.12
22184.569659,13729.009668,19307.9869208,9483.6384426,0.92,2
17324.317075,8632.89714243,26052.4631197,15809.7474732,1.08,1.52
21449.08076,13302.1711968,27169.612495,16946.2620805,0.32,1.28
18307.045375,9767.55775886,34724.375302,26957.3844451,0.6,0.64
16271.175593,7253.65918525,22815.6220708,12438.0453162,1.68,1.8
15066.664091,6149.26240019,27269.352926,17006.8496498,1.68,1.4
15526.71144,6530.4826969,24883.4286253,14362.9694119,1.68,1.6
18793.283199,10264.9647907,34226.983557,26207.1333191,0.6,0.68
14067.991847,5255.67213804,29477.96297,19622.4405938,1.68,1.2
17684.040911,8955.86939176,24687.9623856,14353.9442473,1.12,1.64
12895.9910306,4313.75719107,35042.977348,27411.7761501,1.76,0.68
13110.352242,4479.6433467,38630.848558,33292.5408199,1.96,0.32
13638.323774,4836.60246259,29713.585048,19884.7638544,1.84,1.16
15792.602591,6879.53022308,37830.727477,31933.645195,1.96,0.36
13524.987281,4791.6618884,30353.669755,20729.6652059,1.84,1.12
20718.104998,12668.6598823,25620.0744602,15432.7739545,0.52,1.48
14423.080874,5559.53441409,34404.519661,26441.4932835,1.36,0.72
14643.158918,5840.25378764,34002.667832,25841.3669207,1.36,0.76
16782.734989,8000.33603617,31685.06293,22560.1446017,1.04,0.96
16641.809511,7871.19945007,32043.871928,23042.4573156,1.04,0.92
16753.67438,7860.53417976,24300.4472258,13951.6696512,1.4,1.68
11351.5591436,3167.22554542,41970.537338,39328.781086,1.72,0.04
16781.273101,7998.13783291,29600.778568,19841.600207,1.04,1.16
21084.866835,13217.6790701,21741.6037286,11825.2094375,0.48,1.92
17082.344368,8252.88176572,29837.117056,20114.7786045,1.04,1.12
12802.1830409,4240.06493861,39116.342063,34140.7658769,1.4,0.28
14858.661255,5901.55430419,28028.303249,17873.3228921,1.64,1.32
16293.481178,7270.24332097,26050.289406,15666.8263973,1.56,1.48
14982.362418,6119.04704174,27920.926219,17809.4368436,1.64,1.36
15820.66634,6846.76706149,26688.710359,16370.7772339,1.56,1.44
15920.079324,6966.10679189,35894.712657,28761.5868827,1.08,0.56
16251.245277,7553.65361566,37433.411652,31268.1572659,0.8,0.4
15281.935955,6499.11098806,36356.59147,29498.5524476,1.08,0.52
17142.055742,8262.77890664,36976.518903,30513.43603,0.8,0.44
20127.572544,11694.0339828,25517.3978365,15214.1856952,0.8,1.48
19729.678056,11235.9128933,27154.589907,16932.9010098,0.72,1.32
19114.504112,10702.7170958,26455.9447692,16320.0901407,0.8,1.44
18645.483908,10083.9749988,27319.986967,17183.149354,0.72,1.36
10890.3249284,2877.13224907,40177.845306,36027.9553336,1.8,0.2
22010.793702,14135.8030896,29431.395885,19669.7113845,0.2,1.08
12287.1448017,3818.50521205,35952.464185,28839.2417604,1.8,0.6
22699.04736,14702.6806332,22360.4627618,12090.7064935,0.08,1.72
11808.6552596,3493.85130677,37964.299813,32148.2003122,1.8,0.4
13119.6525221,4412.14322027,33697.294999,25374.5593391,1.8,0.8
19137.099746,10698.8624937,22763.7824324,12609.3779243,0.8,1.84
20508.000538,12669.3614313,30451.636268,21017.8108254,0.2,1.04
15786.767419,6966.40455997,31387.666667,22144.2953265,1.24,1
13379.9196668,4702.96611135,42124.293504,39619.3158002,1.24,0
17686.930558,9055.06197969,21964.6777484,12030.3316809,1.24,2
11727.1127281,3433.56903957,41358.303308,38189.9311181,1.56,0.08
17847.784832,9222.27256561,33101.933999,24550.1770052,0.64,0.8
17829.673043,9103.37682797,35218.69752,27710.8446744,0.64,0.6
17394.350433,8593.12007232,37889.920472,32042.9576325,0.56,0.36
17913.887549,9176.9542789,37356.549505,31150.2117064,0.64,0.4
16858.883233,8210.5716969,39364.374416,34589.0842819,0.64,0.2
17570.970869,8907.72541389,38160.823518,32501.3524956,0.56,0.32
11942.2700191,3577.37509394,41835.326769,39080.1435649,1.56,0.04
11794.7295696,3484.38115939,37179.542045,30829.4224587,1.8,0.48
15546.479085,6755.81136473,40682.522742,36965.1911182,0.8,0.08
15893.907058,7002.69005928,41449.91336,38355.3108492,0.8,0.04
12018.9115912,3630.01727339,37599.893937,31533.1544234,1.8,0.44
15788.901755,6772.92399228,33777.578445,25508.9064086,1.28,0.76
14809.346359,6072.61828243,34430.841937,26486.1424042,1.28,0.72
20212.416198,12004.7975858,21775.6809118,11760.9445474,0.68,1.92
14838.345356,5865.15236239,22496.1071401,12115.8895081,2,1.88
18989.626712,10583.627093,26089.0499917,15871.116731,0.68,1.48
16544.665898,7645.12469844,40065.1047,35830.37848,0.76,0.16
20395.997362,12161.6972513,36531.821858,29806.5717877,0.2,0.44
15580.227569,6716.90729499,40579.388339,36757.1003017,0.76,0.12
14372.390235,5562.3267467,25239.318389,14848.5522928,1.8,1.64
14847.301302,5986.44208561,24606.336718,14148.8458527,1.8,1.68
19983.595846,11542.7674121,25935.8624099,15631.6480656,0.68,1.44
19339.001023,11031.0162577,36240.554416,29335.7676697,0.2,0.48
20398.591078,12105.6138212,21232.7307512,11240.3624466,0.68,1.96
10800.2398273,2824.70263556,39274.418308,34416.2233554,2,0.28
15425.369044,6433.95976821,31230.051402,21895.5766315,1.32,1
18686.810767,9818.16611326,20718.6057497,10651.2345129,1.32,2
17402.740125,8812.1008651,38563.786511,33192.1655184,2,0.24
21488.061846,13458.4410139,24355.5901331,14028.944973,0.56,1.56
12178.3098892,3743.72607313,39660.020488,35096.702868,1.64,0.24
19136.153278,10439.969556,32886.162778,24240.8282728,0.56,0.8
14917.500213,5962.30501633,24030.3981236,13628.8823328,1.88,1.72
20576.105389,12376.3693064,32717.328772,24021.9425649,0.2,0.8
20965.045892,12921.6897751,37722.184621,31773.9908098,0,0.32
12163.5388732,3747.64400478,39154.286105,34205.299401,1.64,0.28
17507.719372,8854.37829569,37284.558962,31027.3117477,0.56,0.4
17785.469002,9221.54164819,35225.992393,27728.4585786,0.56,0.6
22222.963538,14676.1992812,22101.7798611,12268.884073,0.28,1.88
11132.1690935,3030.19584821,41499.639867,38445.6576833,1.68,0.08
22345.234726,14646.493526,21804.3123365,11742.7686462,0.28,1.84
14767.403319,5911.33526723,26237.39324,15893.8615784,1.72,1.52
11163.6842847,3051.94286707,41774.003908,38973.5984326,1.68,0.04
19063.270749,10564.6971094,23796.5412595,13575.6839899,0.76,1.72
19732.96542,11115.9251243,23361.3329896,12998.3386496,0.96,1.68
21089.920299,12819.7985191,22517.8248644,12287.5204757,0.76,1.76
16693.397952,7942.26192795,22117.8440372,12124.72229,1.44,2
15726.203756,6674.04767398,31145.436243,21780.5189782,1.44,1
14705.8345822,5860.15602758,39369.889643,34589.4795905,1.12,0.24
20936.515611,13018.2554236,31435.275407,22274.7209649,0.16,0.92
20952.575124,12727.9029584,24554.4479704,14184.6804426,0,1.56
15253.498854,6414.51129465,39325.624145,34511.8050126,0.88,0.24
21197.611444,12896.9011161,27743.530276,17598.7028405,0.04,1.24
18003.12645,9389.45724454,26015.7937677,15768.3775179,0,1.52
23028.879164,15691.765145,27195.7910635,17116.1946217,0.04,1.28
16428.264135,7562.58920159,38754.267473,33518.3872044,0.88,0.28
20400.180218,12268.3781961,24466.1433506,14267.3255551,0.76,1.6
18996.254787,10373.4800176,26610.962126,16346.9600262,0.76,1.4
18579.637335,9871.21259264,32950.253773,24329.8865533,0.76,0.8
18720.580173,10064.1833361,28681.560978,18699.4166284,0.76,1.2
16869.050597,7945.15405156,30134.707945,20465.2755747,1.2,1.08
21820.46283,14247.7775742,24063.5639955,13958.8931934,0.24,1.64
18623.819596,9659.29205825,20500.3226902,10503.7915152,1.48,2
14177.607119,5451.96758422,31693.438168,22545.6711747,1.48,1
11642.2228296,3386.28485379,42046.604405,39498.7638273,1.48,0
20422.839149,11986.6637323,22416.7954083,12235.9644788,0.76,1.8
13493.485346,4705.12104258,28988.850362,18988.6967711,1.88,1.24
15420.271887,6476.52039843,26282.213151,15921.7053171,1.68,1.48
19764.409402,11680.8731622,24700.0095805,14497.5514566,0.4,1.64
21105.384393,13179.5143474,23741.2578904,13587.10291,0.4,1.68
17667.001697,8902.93541019,23758.2759458,13561.1010054,1.12,1.76
15675.784568,6832.38458955,31047.455625,21696.1626926,1.2,1.04
13074.5973419,4390.49701595,31139.752059,21757.8963957,1.96,1.04
15477.83262,6469.73828179,25671.403035,15218.9859113,1.76,1.52
14716.579946,5805.76204635,25806.082785,15418.0369875,1.76,1.56
12963.409569,4345.0555369,30982.653942,21574.9073505,1.96,1.08
20094.187755,11650.2561341,22563.8937624,12352.370767,0.72,1.8
13006.5182123,4380.01666477,39574.324513,34946.4600851,1.4,0.24
15947.246842,7081.44901562,27979.11003,17846.6997849,1.44,1.32
16499.418442,7639.40675009,23342.7953022,13075.5613521,1.6,1.8
15628.024961,6783.02023912,27838.639719,17728.4767087,1.44,1.36
19851.223045,11587.0137759,36637.65914,29980.8011957,0.16,0.44
21438.565488,13361.6412068,33877.945948,25707.4142631,0.04,0.68
20446.834645,12139.3605197,36176.095403,29234.9377098,0.16,0.48
21625.618406,13737.7519428,34258.847809,26278.8712115,0.04,0.64
15271.11661,6349.10514976,27145.897706,16855.8223738,1.6,1.4
15416.781912,6453.44106877,25011.9509919,14521.6674292,1.6,1.6
16587.660531,7733.71516954,26235.1852373,15922.855232,1.32,1.48
16690.549114,7705.24144734,26372.32253,15976.0485972,1.32,1.44
18737.829673,10060.4501787,24808.4083386,14543.3855695,1,1.6
18502.651026,9923.59432839,33454.262371,25065.6658188,0.52,0.76
18609.958471,9859.32794371,26477.175314,16146.5581322,1,1.4
19066.129639,10625.2035839,33791.671132,25565.9089232,0.52,0.72
14933.1830352,6017.96354602,35174.031173,27625.1489269,1.32,0.64
14494.7816351,5653.85799211,34833.031037,27096.1047395,1.32,0.68
13392.596816,4641.78224251,32424.742741,23538.190707,1.76,0.92
20923.306238,12782.5418054,26374.4782683,16146.5551337,0.08,1.4
12128.0267155,3702.0409586,38478.28993,33024.6666005,1.72,0.36
25415.547525,18586.3107207,22894.482439,12725.8593705,0.08,1.6
13319.8220202,4603.19485541,32052.866484,23020.7993562,1.76,0.96
18300.502808,9571.32573305,22914.0398013,12636.6385366,1.04,1.8
11965.3605513,3609.88662339,38796.37323,33580.3008195,1.72,0.32
21742.073216,14088.2658894,28254.837851,18292.9501402,0.08,1.2
17425.580872,8540.49624723,25980.059506,15622.7392153,1.16,1.48
22910.722741,15518.5706062,22354.7496172,12327.7512037,0.08,1.8
15568.579185,6645.1751868,32546.770579,23729.0734534,1.32,0.88
17572.403865,8777.93462869,30978.326358,21595.802005,0.96,1
14427.3108573,5611.50941028,41962.432207,39321.8624827,0.96,0
19091.766442,10727.7043257,21963.2718032,12199.3138509,0.96,2
15107.728844,6197.51541309,38142.594887,32461.3337119,1,0.36
15713.1504001,6808.50196082,38380.393303,32868.5943906,1,0.32
14986.501065,6073.69229619,33083.047721,24492.9006008,1.32,0.84
20470.015143,12160.6121631,29601.611682,19859.469972,0.44,1.08
20747.916693,12789.7869403,21949.7614742,12061.0082913,0.52,1.92
21250.397026,13205.4036962,21108.8720621,11200.9825972,0.52,1.96
12096.140082,3700.85257417,42104.70138,39589.1180953,1.96,0
17678.659395,8922.59642747,30779.406421,21343.9622481,1.96,1
24905.025118,17967.231447,21646.3714692,11614.5019705,0.08,1.76
15244.704924,6290.88765048,30412.870414,20813.2318275,1.52,1.08
15804.980603,6909.83757965,32538.948624,23717.7753629,1.16,0.88
14573.834238,5738.02428461,31173.230309,21848.566059,1.52,1.04
15836.621225,6834.27776679,32898.572786,24228.7593788,1.16,0.84
18593.128204,10030.9865468,22409.6965795,12405.0189012,1,1.92
16599.236341,7850.13122174,34554.307306,26685.4353302,0.92,0.68
18333.391672,9728.76579326,21867.6849616,11805.4291198,1,1.96
15644.985157,6577.60480205,21028.8907551,10802.910747,1.84,2
16802.886127,8046.03968478,34957.26928,27303.3861839,0.92,0.64
19721.371988,11438.849173,35806.782093,28649.8951487,0.32,0.52
19249.598066,10842.1457517,35451.478974,28084.3923326,0.32,0.56
17269.272613,8517.92678485,31143.020951,21827.9980585,0.92,1
15164.6207533,6347.90604878,41734.951148,38901.1586618,0.92,0
18255.904346,9684.75029946,34764.174703,27018.0854959,0.48,0.64
15023.05118,6132.89027585,33504.860705,25104.1016366,1.4,0.8
17133.928701,8320.23280049,40566.299037,36726.3399635,0,0.12
14648.086811,5669.6583321,35634.166869,28341.7428895,1.4,0.6
13471.0960193,4778.96640906,37823.373875,31913.5657017,1.4,0.4
17200.076755,8551.80102122,23727.7524763,13553.4265793,1.16,1.8
12909.5937306,4354.6473218,39803.850416,35362.157394,1.4,0.2
17530.785871,8780.6247355,28160.07298,18092.7015201,0.96,1.28
15759.2429644,6925.54067021,41367.700985,38205.9338542,0.72,0.04
21280.083459,13344.9085037,32122.911696,23205.832327,0.24,0.84
17763.943746,8929.83786597,24763.5401296,14384.9494566,1.16,1.6
15567.898585,6755.12719841,40926.112592,37392.6399421,0.72,0.08
20939.746825,12744.5157388,31748.857133,22673.5552545,0.24,0.88
16356.480113,7425.18796265,26601.557748,16268.7730539,1.36,1.44
18928.996021,10110.1534203,27648.624471,17444.9302717,0.92,1.28
21913.022666,14137.2394448,30306.336205,20781.9343738,0.12,1
19914.994307,11682.4114721,41219.723796,37950.5322751,0.12,0
