   x   y
   8.8876309e-01   0.0000000e+00
   8.4785824e-01   0.0000000e+00
   9.5395719e-01   0.0000000e+00
   8.2223000e-01   2.0394973e-01
   8.2581947e-01   8.8246835e-03
   7.4086772e-01   1.7885021e-01
   8.6218471e-01   9.4009489e-03
   7.3460115e-01   2.3174580e-01
   9.7663264e-01   2.8293939e-02
   7.4110640e-01   6.9697015e-02
   1.0092839e+00   0.0000000e+00
   1.0826777e+00   0.0000000e+00
   9.2140694e-01   0.0000000e+00
   7.4852533e-01   1.9796198e-01
   6.0452065e-01   1.0362630e-01
   1.0056480e+00   0.0000000e+00
   8.4065704e-01   3.2526023e-01
   9.3987887e-01   0.0000000e+00
   9.4618979e-01   6.6287975e-02
   7.5507115e-01   3.5390158e-02
   9.2822110e-01   6.4972960e-02
   1.0652632e+00   0.0000000e+00
   7.8195770e-01   0.0000000e+00
   1.0618588e+00   0.0000000e+00
   9.5012954e-01   5.7130272e-03
   9.2563958e-01   5.0791744e-03
   1.0984118e+00   0.0000000e+00
   8.6524837e-01   1.1465291e-01
   9.1423878e-01   7.7716043e-02
   9.0909250e-01   1.3477099e-01
   8.4468520e-01   2.7637041e-01
   7.3477894e-01   1.5365107e-01
   7.2686990e-01   8.3490336e-02
   8.0691411e-01   7.3634314e-02
   8.7371869e-01   5.0085139e-02
   9.4229063e-01   0.0000000e+00
   5.4760695e-01   3.2940540e-01
   7.9810132e-01   2.6682433e-01
   9.1247555e-01   1.7335326e-01
   8.0223573e-01   0.0000000e+00
   1.0803683e+00   0.0000000e+00
   5.2725480e-01   0.0000000e+00
   1.0390097e+00   1.7744125e-01
   9.2001959e-01   1.5936218e-01
   8.5783852e-01   0.0000000e+00
   9.8119695e-01   0.0000000e+00
   8.2703033e-01   0.0000000e+00
   9.0755005e-01   1.9738658e-02
   7.8017983e-01   2.1487127e-01
   8.8930901e-01   0.0000000e+00
   8.5940969e-01   2.9590169e-02
   7.4739529e-01   1.7434720e-02
   9.8238551e-01   6.9033682e-02
   6.7243542e-01   2.8986072e-01
   7.2476899e-01   0.0000000e+00
   9.7217538e-01   1.6865371e-01
   9.0537476e-01   3.3131758e-02
   3.3667950e-01   6.7959762e-01
   9.5187239e-01   0.0000000e+00
   7.3319579e-01   2.7296821e-01
   9.7915220e-01   0.0000000e+00
   8.8782509e-01   1.2290920e-01
   1.1011702e+00   0.0000000e+00
   9.8219703e-01   4.6751142e-03
   8.1071150e-01   2.9780253e-01
   9.2683912e-01   2.6102620e-01
   1.0316043e+00   0.0000000e+00
   1.0500351e+00   3.3908292e-02
   8.3982641e-01   3.2789919e-02
   9.6950608e-01   0.0000000e+00
   6.4030978e-01   1.8681021e-01
   9.2426499e-01   2.1404757e-01
   8.0510312e-01   2.3658539e-01
   9.3320144e-01   3.3062611e-02
   8.7420327e-01   2.4084428e-01
   8.9669191e-01   2.5204374e-03
   8.3600718e-01   2.9821258e-01
   6.8822741e-01   0.0000000e+00
   9.2078064e-01   0.0000000e+00
   9.2760657e-01   0.0000000e+00
   7.8355033e-01   0.0000000e+00
   8.8388233e-01   1.8939021e-01
   6.8826506e-01   2.1125605e-01
   9.8566787e-01   2.9166838e-04
   9.0294803e-01   0.0000000e+00
   9.7035089e-01   5.2352003e-03
   8.1030821e-01   3.6430426e-03
   4.4729198e-01   2.4523492e-01
   4.7015086e-01   4.6541723e-01
   6.2759078e-01   2.7625310e-01
   9.7211902e-01   0.0000000e+00
   9.8008171e-01   4.6413451e-02
   1.0040841e+00   0.0000000e+00
   9.9112380e-01   3.6062743e-02
   8.8988249e-01   1.2581073e-02
   9.1462584e-01   6.7570354e-04
   9.7449179e-01   7.3984220e-02
   1.0307809e+00   0.0000000e+00
   7.2537915e-01   1.0094144e-01
   7.3007037e-01   6.2820955e-02
   7.8813485e-01   1.5989674e-01
   7.0571031e-01   5.2774968e-02
   1.0144837e+00   9.1270984e-02
   8.9204523e-01   6.7895771e-03
   9.2056152e-01   5.4135071e-02
   8.2324145e-01   3.1951207e-01
   8.6318173e-01   3.1590751e-02
   8.1096541e-01   7.3403334e-02
   7.7265790e-01   1.0432416e-01
   8.5809893e-01   0.0000000e+00
   7.9027317e-01   1.1291266e-02
   9.7597008e-01   0.0000000e+00
   8.6798678e-01   0.0000000e+00
   9.8821027e-01   2.7563147e-01
   7.4550244e-01   1.8530064e-01
   8.6479582e-01   2.0756150e-01
   9.8385913e-01   1.1455824e-01
   9.0184790e-01   7.8503436e-02
   9.2881967e-01   0.0000000e+00
   1.0610475e+00   0.0000000e+00
   6.7294917e-01   4.3265061e-04
   9.5411478e-01   2.0351605e-01
   9.4534812e-01   0.0000000e+00
   9.2733988e-01   9.1066224e-02
   8.8281442e-01   0.0000000e+00
   1.0251554e+00   0.0000000e+00
   9.8913598e-01   0.0000000e+00
   5.8793868e-01   1.4959181e-01
   9.2030574e-01   0.0000000e+00
   7.1320773e-01   8.7492122e-02
   9.9321716e-01   0.0000000e+00
   7.7017568e-01   1.3233619e-01
   9.6353663e-01   1.0970817e-01
   7.3996910e-01   9.3791021e-02
   7.8181490e-01   6.9823245e-02
   9.2533519e-01   0.0000000e+00
   7.6313902e-01   1.1770733e-01
   9.2879714e-01   2.0957074e-01
   8.4952555e-01   3.0043412e-01
